TIPO DE ATM, NRO DE ATM ,NOMBRE DE ATM,MONTO,DENOMINACION,FECHA,,
COMPARTIDO,2115,ISLA - MEGA PLAZA 1,20000.00,DOLARES,2018-09-12,,
COMPARTIDO,2246,ISLA - MEGA PLAZA 1,10000.00,DOLARES,2018-09-12,,
COMPARTIDO,2630,ISLA - MEGA PLAZA 1,20000.00,DOLARES,2018-09-12,,
FASA,0578,ISLA - MEGA PLAZA 1,438000.00,SOLES,2018-09-12,,
FASA,0596,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
FASA,0638,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
FASA,0663,ISLA - MEGA PLAZA 1,638000.00,SOLES,2018-09-12,,
FASA,0669,ISLA - MEGA PLAZA 1,476000.00,SOLES,2018-09-12,,
FASA,0578,ISLA - MEGA PLAZA 1,14000.00,DOLARES,2018-09-12,,
FASA,0596,ISLA - MEGA PLAZA 1,8000.00,DOLARES,2018-09-12,,
FASA,0638,ISLA - MEGA PLAZA 1,10000.00,DOLARES,2018-09-12,,
FASA,0663,ISLA - MEGA PLAZA 1,40000.00,DOLARES,2018-09-12,,
FASA,0669,ISLA - MEGA PLAZA 1,16000.00,DOLARES,2018-09-12,,
MONEDERO,9000,ISLA - MEGA PLAZA 1,12000.00,SOLES,2018-09-12,,
MONEDERO,9002,ISLA - MEGA PLAZA 1,12000.00,SOLES,2018-09-12,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
